N_CAT	ANO	MÊS	N	TÍTULO	AUTOR	EDITORA	CATEGORIA	VENDAS	ISBN	Num_Pag	url_img
13	2013	3	1	Nada A Perder	Edir Macedo	Planeta Do Brasil	13	55.551	978-85-76658-93-1	288	https://www.publishnews.com.br/estaticos/uploads/2015/08/O6nQIE5PHgHtJPy98HvolWAO07H7DPk6ZZCHWqFdOKXs4gQMV7h6XDyuQUmnWY3GDOZ8ecYtBuQQAYjB.jpg
13	2013	3	2	O Livro Da Psicologia	Vários	Globo Livros	13	3.381	978-85-25051-36-3	352	https://www.publishnews.com.br/estaticos/uploads/livro/psicologia.jpg
13	2013	3	3	Não Se Desespere!	Mario Sergio Cortella	Vozes	13	3.363	978-85-32645-02-9	144	https://www.publishnews.com.br/estaticos/uploads/livro/naosedesespere.jpg
13	2013	3	4	Lincoln	Doris Kearins Goodwin	Record	13	3.145	978-85-01401-35-9	322	https://www.publishnews.com.br/estaticos/uploads/livro/lincoln.jpg
13	2013	3	5	Subliminar	Leonard Mlodinow	Zahar	13	2.598	978-85-37809-59-4	304	https://www.publishnews.com.br/estaticos/uploads/livro/subliminar.jpg
13	2013	3	6	Giane	Guilherme Fiuza	Primeira Pessoa	13	2.595	978-85-75428-77-1	304	https://www.publishnews.com.br/estaticos/uploads/livro/giane.jpg
13	2013	3	7	A Outra História Do Mensalão	Paulo Moreira Leite	Geração Editorial	13	2.383	978-85-81301-51-8	352	https://www.publishnews.com.br/estaticos/uploads/livro/outramensalao.jpg
13	2013	3	8	Mensalão	Merval Pereira	Record	13	2.255	978-85-01402-35-6	288	https://www.publishnews.com.br/estaticos/uploads/livro/mensalaorecord.jpg
13	2013	3	9	O Homem Que Não Queria Ser Papa	Andreas Englisch	Universo Dos Livros	13	2.169	978-85-79303-27-2	576	https://www.publishnews.com.br/estaticos/uploads/livro/ohomemquenaqueria.jpg
13	2013	3	10	O Livro Da Filosofia	Vários	Globo Livros	13	2.006	978-85-25049-86-5	352	https://www.publishnews.com.br/estaticos/uploads/livro/livrodafilosofia.jpg
13	2013	3	11	Uma Prova Do Céu	Dr Eben Alexander Iii	Sextante	13	1.951	978-85-75428-94-8	192	https://www.publishnews.com.br/estaticos/uploads/livro/provadoceu.jpg
13	2013	3	12	Catarina, A Grande	Robert K. Massie	Rocco	13	1.808	978-85-32527-99-8	640	https://www.publishnews.com.br/estaticos/uploads/livro/catarina.jpg
13	2013	3	13	Madame Charme	Jennifer L Scott	Agir	13	1.736	978-85-22014-16-3	200	https://www.publishnews.com.br/estaticos/uploads/livro/madame.jpg
13	2013	3	14	1808	Laurentino Gomes	Planeta Do Brasil	13	1.637	978-85-76653-20-2	408	https://www.publishnews.com.br/estaticos/uploads/2015/08/XaCIqllM86TMxuB6ihP3170WUUMuxTx2lgRk9FAyJ6Txm9dKWvj3OX2pUeNKQFFsBK73KN7URVrp2b8T.jpg
13	2013	3	15	Escrever Melhor	Arlete Salvador / Dad Squarisi	Contexto	13	1.584	978-85-72443-90-6	224	https://www.publishnews.com.br/estaticos/uploads/livro/escrevermelhor.jpg
13	2013	3	16	Guia Politicamente Incorreto Da História Do Brasil	Leandro Narloch	Leya	13	1.514	978-85-62936-06-7	304	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011174267473813071.jpg
13	2013	3	17	Crianças Francesas Não Fazem Manha	Pamela Druckerman	Fontanar	13	1.428	978-85-39004-29-4	272	https://www.publishnews.com.br/estaticos/uploads/livro/criancasfrancesas.jpg
13	2013	3	18	Mcfly	Mcfly	Bestseller	13	1.320	978-85-76846-70-3	336	https://www.publishnews.com.br/estaticos/uploads/livro/mcfly.jpg
13	2013	3	19	Não Há Dia Fácil	Kevin Maurer	Paralela	13	1.273	978-85-65530-14-9	264	https://www.publishnews.com.br/estaticos/uploads/livro/naohadia.jpg
