N_CAT	ANO	MÊS	N	TÍTULO	AUTOR	EDITORA	CATEGORIA	VENDAS	ISBN	Num_Pag	url_img
0	2011	1	1	Ágape	Padre Marcelo Rossi	Globo Livros	Autoajuda	64.974	978-85-25048-95-0	128	https://pictures.abebooks.com/isbn/9788525048950-us.jpg
0	2011	1	2	Querido John	Nicholas Sparks	Novo Conceito	Ficção	12.437	978-85-63219-02-2	288	https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg
0	2011	1	3	1822	Laurentino Gomes	Nova Fronteira	Não Ficção	12.312	978-85-20924-09-9	372	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011013222251248457.jpg
0	2011	1	4	A Cabana	William P. Young	Arqueiro	Ficção	12.298	978-85-99296-36-3	240	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg
0	2011	1	5	Comer, Rezar, Amar	Elizabeth Gilbert	Objetiva	Não Ficção	10.621	978-85-73028-92-8	344	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110423973103680224.jpg
0	2011	1	6	Diário De Uma Paixão	Nicholas Sparks	Novo Conceito	Ficção	9.501	978-85-63219-20-6	256	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20uma%20paixao.jpg
0	2011	1	7	A Última Música	Nicholas Sparks	Novo Conceito	Ficção	8.662	978-85-63219-07-7	400	https://www.publishnews.com.br/estaticos/uploads/livro/201009201106373951199167663.jpg
0	2011	1	8	1808	Laurentino Gomes	Planeta Do Brasil	Não Ficção	7.884	978-85-76653-20-2	408	https://www.publishnews.com.br/estaticos/uploads/2015/08/XaCIqllM86TMxuB6ihP3170WUUMuxTx2lgRk9FAyJ6Txm9dKWvj3OX2pUeNKQFFsBK73KN7URVrp2b8T.jpg
0	2011	1	9	O Milagre	Nicholas Sparks	Agir	Ficção	6.698	978-85-20924-82-2	239	https://www.publishnews.com.br/estaticos/uploads/livro/o%20milagre.jpg
0	2011	1	10	Comprometida	Elizabeth Gilbert	Objetiva	Não Ficção	6.354	978-85-39000-76-0	240	https://www.publishnews.com.br/estaticos/uploads/livro/201009201104525042064780834.jpg
0	2011	1	11	Por Que Os Homens Amam As Mulheres Poderosas?	Sherry Argov	Sextante	Autoajuda	6.273	978-85-75424-88-9	192	https://pictures.abebooks.com/isbn/9788575424889-us.jpg
0	2011	1	12	O Semeador De Idéias	Augusto Cury	Academia	Ficção	5.977	978-85-60096-93-0	272	https://www.publishnews.com.br/estaticos/uploads/livro/o%20semeador.jpg
0	2011	1	13	A Pirâmide Vermelha	Rick Riordan	Intrínseca	Infantojuvenil	5.495	978-85-98078-97-7	448	https://www.publishnews.com.br/estaticos/uploads/livro/a%20piramide%20vermelha.jpg
0	2011	1	14	A Batalha Do Apocalipse	Eduardo Spohr	Verus	Ficção	5.340	978-85-76860-76-1	582	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110910671416755726.jpg
0	2011	1	15	Vida	Keith Richards	Globo Livros	Não Ficção	5.203	978-85-25049-31-5	672	https://www.publishnews.com.br/estaticos/uploads/livro/vida.jpg
0	2011	1	16	Bilionários Por Acaso	Ben Mezrich	Intrínseca	Negócios	5.024	978-85-98078-94-6	232	https://www.publishnews.com.br/estaticos/uploads/2015/07/SvT3X8gKys50UNxUkitLuxaxyRwTONFGg8euUX4fxCK6G3XfJOSX5Y2WOlWt8Xw0RuIvBECAXLtakKnW.jpg
0	2011	1	17	Amanhecer	Stephenie Meyer	Intrínseca	Ficção	4.306	978-85-98078-46-5	576	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112246299136795256.jpg
0	2011	1	18	O Pequeno Príncipe	Antoine Saint-Exupéry	Agir	Infantojuvenil	4.216	978-85-22005-23-9	94	https://www.publishnews.com.br/estaticos/uploads/2015/07/UY2y1RdJ4JqUpvpY55PSUhDICVIAr046ge5nK0CGiyMNG8LOYqiZd5nJEWFO1btQmPygvZ4FruOFRpH3.jpg
0	2011	1	19	Depois Da Escuridão	Sidney Sheldon E Tilly Bagshawe	Record	Ficção	4.113	85-01-09099-9	464	https://www.publishnews.com.br/estaticos/uploads/livro/escuridao.jpg
0	2011	1	20	Fora De Mim	Martha Medeiros	Objetiva	Ficção	3.996	978-85-39001-12-5	136	https://www.publishnews.com.br/estaticos/uploads/livro/forademim.jpg
9	2011	1	1	Querido John	Nicholas Sparks	Novo Conceito	9	12.437	978-85-63219-02-2	288	https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg
9	2011	1	2	A Cabana	William P. Young	Arqueiro	9	12.298	978-85-99296-36-3	240	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg
9	2011	1	3	Diário De Uma Paixão	Nicholas Sparks	Novo Conceito	9	9.501	978-85-63219-20-6	256	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20uma%20paixao.jpg
9	2011	1	4	A Última Música	Nicholas Sparks	Novo Conceito	9	8.662	978-85-63219-07-7	400	https://www.publishnews.com.br/estaticos/uploads/livro/201009201106373951199167663.jpg
9	2011	1	5	O Milagre	Nicholas Sparks	Agir	9	6.698	978-85-20924-82-2	239	https://www.publishnews.com.br/estaticos/uploads/livro/o%20milagre.jpg
9	2011	1	6	O Semeador De Idéias	Augusto Cury	Academia	9	5.977	978-85-60096-93-0	272	https://www.publishnews.com.br/estaticos/uploads/livro/o%20semeador.jpg
9	2011	1	7	A Batalha Do Apocalipse	Eduardo Spohr	Verus	9	5.340	978-85-76860-76-1	582	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110910671416755726.jpg
9	2011	1	8	Amanhecer	Stephenie Meyer	Intrínseca	9	4.306	978-85-98078-46-5	576	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112246299136795256.jpg
9	2011	1	9	Depois Da Escuridão	Sidney Sheldon E Tilly Bagshawe	Record	9	4.113	85-01-09099-9	464	https://www.publishnews.com.br/estaticos/uploads/livro/escuridao.jpg
9	2011	1	10	Fora De Mim	Martha Medeiros	Objetiva	9	3.996	978-85-39001-12-5	136	https://www.publishnews.com.br/estaticos/uploads/livro/forademim.jpg
9	2011	1	11	A Hospedeira	Stephenie Meyer	Intrínseca	9	3.951	978-85-98078-59-5	560	https://www.publishnews.com.br/estaticos/uploads/livro/A%20hospedeira.jpg
9	2011	1	12	Terra De Sombras	Alyson Noël	Intrínseca	9	3.407	978-85-98078-98-4	280	https://www.publishnews.com.br/estaticos/uploads/livro/terra%20de%20sombras.jpg
9	2011	1	13	O Símbolo Perdido	Dan Brown	Arqueiro	9	3.297	978-85-99296-55-4	512	https://www.publishnews.com.br/estaticos/uploads/livro/201009201115308161853624048.jpg
9	2011	1	14	O Menino Do Pijama Listrado	John Boyne	Seguinte	9	2.920	978-85-35911-12-1	200	https://www.publishnews.com.br/estaticos/uploads/livro/201009201127303311312868066.jpg
9	2011	1	15	Fallen	Lauren Kate	Galera Record	9	2.792	978-85-01089-62-5	406	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110704692-1133536870.jpg
9	2011	1	16	Diários Do Vampiro - O Retorno	L. J. Smith	Galera Record	9	2.725	978-85-01090-67-6	448	https://www.publishnews.com.br/estaticos/uploads/livro/diarios%20retorno.jpg
9	2011	1	17	Morte E Vida De Charlie St. Cloud	Ben Sherwood	Novo Conceito	9	2.494	978-85-63219-18-3	304	https://www.publishnews.com.br/estaticos/uploads/livro/morte%20e%20vida.jpg
9	2011	1	18	Queda De Gigantes	Ken Follett	Arqueiro	9	1.847	978-85-99296-85-1	912	https://www.publishnews.com.br/estaticos/uploads/livro/20110105085616249-1502246561.jpg
9	2011	1	19	Beijada Por Um Anjo	Elizabeth Chandler	Novo Conceito	9	1.044	978-85-63219-14-5	264	https://www.publishnews.com.br/estaticos/uploads/livro/Beijada%20Por%20um%20Anjo.jpg
9	2011	1	20	O Vendedor De Sonhos	Augusto Cury	Academia	9	1.012	978-85-60096-27-5	296	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111806341007267731.jpg
13	2011	1	1	1822	Laurentino Gomes	Nova Fronteira	13	12.312	978-85-20924-09-9	372	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011013222251248457.jpg
13	2011	1	2	Comer, Rezar, Amar	Elizabeth Gilbert	Objetiva	13	10.621	978-85-73028-92-8	344	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110423973103680224.jpg
13	2011	1	3	1808	Laurentino Gomes	Planeta Do Brasil	13	7.884	978-85-76653-20-2	408	https://www.publishnews.com.br/estaticos/uploads/2015/08/XaCIqllM86TMxuB6ihP3170WUUMuxTx2lgRk9FAyJ6Txm9dKWvj3OX2pUeNKQFFsBK73KN7URVrp2b8T.jpg
13	2011	1	4	Comprometida	Elizabeth Gilbert	Objetiva	13	6.354	978-85-39000-76-0	240	https://www.publishnews.com.br/estaticos/uploads/livro/201009201104525042064780834.jpg
13	2011	1	5	Vida	Keith Richards	Globo Livros	13	5.203	978-85-25049-31-5	672	https://www.publishnews.com.br/estaticos/uploads/livro/vida.jpg
13	2011	1	6	Não Há Silêncio Que Não Termine	Ingrid Betancourt	Companhia Das Letras	13	3.321	978-85-35917-38-3	560	https://www.publishnews.com.br/estaticos/uploads/2015/07/MLIMNjzEGUz1C03M4AG3LUE7fdQg0BpGe3GSYX5XvKoWhaOr3VvYTHBSZEW4a83bSNPUKNy4scui5SGd.jpg
13	2011	1	7	Guia Politicamente Incorreto Da História Do Brasil	Leandro Narloch	Leya	13	3.281	978-85-62936-06-7	304	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011174267473813071.jpg
13	2011	1	8	Ricardo Amaral Apresenta Vaudeville	Ricardo Amaral	Leya	13	3.064	978-85-80440-23-2	488	https://www.publishnews.com.br/estaticos/uploads/livro/ricardo%20amaral.jpg
13	2011	1	9	Harry Potter - A Magia Do Cinema	Miraphora Mina	Panini	13	2.846	978-85-73516-81-4	160	https://www.publishnews.com.br/estaticos/uploads/livro/harry%20potter%20a%20magia.jpg
13	2011	1	10	50 Anos A Mil	Lobão	Nova Fronteira	13	2.785	978-85-20924-46-4	600	https://www.publishnews.com.br/estaticos/uploads/livro/50%20anos%20a%20mil.jpg
13	2011	1	11	Mentes Perigosas - O Psicopata Mora Ao Lado	Ana Beatriz Silvia	Fontanar	13	2.465	978-85-73029-16-1	210	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112843408-1278583075.jpg
13	2011	1	12	Nelson Mandela - Conversas Que Tive Comigo	Nelson Mandela	Rocco	13	2.176	978-85-32526-07-6	416	https://www.publishnews.com.br/estaticos/uploads/livro/nelson%20mandela.jpg
13	2011	1	13	Meu Pai Fala Cada M*Rda	Justin Halpern	Sextante	13	1.529	978-85-75426-22-7	144	https://www.publishnews.com.br/estaticos/uploads/livro/pai.jpg
13	2011	1	14	José Alencar - Amor À Vida	Eliane Cantanhede	Primeira Pessoa	13	1.145	978-85-75426-24-1	256	https://www.publishnews.com.br/estaticos/uploads/livro/jose%20alencar.jpg
13	2011	1	15	Mil Dias Na Toscana	Marlena De Blasi	Sextante	13	1.093	85-75-42619-2	256	https://www.publishnews.com.br/estaticos/uploads/livro/toscana.jpg
13	2011	1	16	Uma Breve História Do Mundo	Geoffrey Blainey	Fundamento	13	1.041	978-85-88350-77-9	344	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011505980-1540772528.jpg
13	2011	1	17	Politicamente Incorreto	Danilo Gentili	Panda Books	13	987	978-85-78880-87-3	112	https://www.publishnews.com.br/estaticos/uploads/livro/politicamente%20incorreto.jpg
13	2011	1	18	Hitler	Ian Kershaw	Companhia Das Letras	13	874	978-85-35917-58-1	1.024	https://www.publishnews.com.br/estaticos/uploads/livro/hitler.jpg
13	2011	1	19	Justin Bieber - Uma Biografia Não Autorizada	Chas Newkey- Urden	Prumo	13	773	978-85-79271-07-6	216	https://www.publishnews.com.br/estaticos/uploads/2015/07/CggIbRGfG2HexF7y1YbmFFHtpQvzjBLXtwpBXWXvRRHVHXpYaIVphExtEbnEeUxtUBm7AOBxmlGXJqHw.jpg
13	2011	1	20	Eu Sou Ozzy	Ozzy Osbourne Com Chris Ayres	Benvirá	13	615	978-85-02098-30-5	416	https://www.publishnews.com.br/estaticos/uploads/livro/20100920113540940-1668595481.jpg
5	2011	1	1	Ágape	Padre Marcelo Rossi	Globo Livros	5	64.974	978-85-25048-95-0	128	https://pictures.abebooks.com/isbn/9788525048950-us.jpg
5	2011	1	2	Por Que Os Homens Amam As Mulheres Poderosas?	Sherry Argov	Sextante	5	6.273	978-85-75424-88-9	192	https://pictures.abebooks.com/isbn/9788575424889-us.jpg
5	2011	1	3	O Poder	Rhonda Byrne	Agir	5	3.523	978-85-22012-30-5	272	https://www.publishnews.com.br/estaticos/uploads/livro/o%20poder.jpg
5	2011	1	4	Eles Continuam Entre Nós - Vol. 2	Zibia Gasparetto	Vida E Consciência	5	2.454	978-85-77221-21-9	208	https://www.publishnews.com.br/estaticos/uploads/2015/07/21VCThM5nROqfKoXiPJwsi6p1vY5Q8LsK7EhNgReN4w0vFHRFM3E1Mb7ZwHyEOVdHueoKtunT2LlZMxW.jpg
5	2011	1	5	O Que Realmente Importa? (Gente)	Anderson Cavalcante	Gente	5	2.041	978-85-73126-52-5	152	https://pictures.abebooks.com/isbn/9788573126525-us.jpg
5	2011	1	6	Cardápios Nota 10	Guilherme De Azevedo Ribeiro	Bertrand Brasil	5	1.904	978-85-28614-62-6	84	https://www.publishnews.com.br/estaticos/uploads/livro/cardapios.jpg
5	2011	1	7	De Frente Com A Verdade	Monica De Castro	Vida E Consciência	5	1.807	978-85-77221-53-0	352	https://www.publishnews.com.br/estaticos/uploads/livro/de%20frente.jpg
5	2011	1	8	Nosso Lar	Chico Xavier	Feb	5	1.803	978-85-73280-23-4	343	https://www.publishnews.com.br/estaticos/uploads/livro/20100921122056151069787957.jpg
5	2011	1	9	Mentes Brilhantes, Mentes Treinadas	Augusto Cury	Academia	5	1.736	978-85-60096-84-8	80	https://www.publishnews.com.br/estaticos/uploads/livro/20100920113135549-790263830.jpg
5	2011	1	10	O Efeito Sombra	Deepak Chopra, Debbie Ford E Marianne Williamson	Lua De Papel	5	1.662	978-85-63066-13-8	248	https://www.publishnews.com.br/estaticos/uploads/livro/201009201127041911149030732.jpg
5	2011	1	11	Se Abrindo Pra Vida	Zibia Gasparetto	Vida E Consciência	5	1.636	978-85-77220-79-3	368	https://www.publishnews.com.br/estaticos/uploads/livro/20100920113314518395989887.jpg
5	2011	1	12	Desvendando Os Segredos Da Linguagem Corporal	Allan Pease / Barbara Pease	Sextante	5	1.536	978-85-75421-82-6	272	https://www.publishnews.com.br/estaticos/uploads/livro/201009211203163291973552446.jpg
5	2011	1	13	Por Que Os Homens Se Casam Com As Mulheres Poderosas?	Sherry Argov	Bestseller	5	1.513	978-85-76844-77-8	272	https://www.publishnews.com.br/estaticos/uploads/livro/201009201147426111359820367.jpg
5	2011	1	14	Quem Pensa Enriquece	Napoleon Hill	Fundamento	5	1.414	978-85-76766-30-8	248	https://pictures.abebooks.com/isbn/9788576766308-us.jpg
5	2011	1	15	Encontre Deus Na Cabana	Randal Rauser	Planeta Do Brasil	5	1.360	978-85-76654-63-6	176	https://www.publishnews.com.br/estaticos/uploads/livro/20100920113603112205219721.jpg
5	2011	1	16	20 Passos Para A Paz Interior	Padre Reginaldo Manzotti	Agir	5	1.068	978-85-22012-31-2	256	https://www.publishnews.com.br/estaticos/uploads/livro/vinte%20passos.jpg
5	2011	1	17	O Poder Do Agora	Eckhart Tolle	Sextante	5	905	978-85-75420-27-0	224	https://www.publishnews.com.br/estaticos/uploads/2015/08/4QvdLnBYXQgMrM2cZWZpfiNxxwIZheAaHTnANTFdadJig4P6k91W1xBH76Fe6qitoYtIZPwysRJf7m00.jpg
5	2011	1	18	Salomão, O Homem Mais Rico Que Já Existiu	Steven K. Scott	Sextante	5	836	978-85-75424-16-2	176	https://www.publishnews.com.br/estaticos/uploads/livro/20101001102319207-1479774491.jpg
5	2011	1	19	Nunca Desista Dos Seus Sonhos	Augusto Cury	Sextante	5	694	978-85-75421-49-9	160	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011520717641370214.jpg
5	2011	1	20	Dr House - Um Guia Para A Vida	Toni De La Torre	Lua De Papel	5	652	978-85-63066-29-9	156	https://www.publishnews.com.br/estaticos/uploads/livro/dr%20house.jpg
11	2011	1	1	A Pirâmide Vermelha	Rick Riordan	Intrínseca	11	5.495	978-85-98078-97-7	448	https://www.publishnews.com.br/estaticos/uploads/livro/a%20piramide%20vermelha.jpg
11	2011	1	2	O Pequeno Príncipe	Antoine Saint-Exupéry	Agir	11	4.216	978-85-22005-23-9	94	https://www.publishnews.com.br/estaticos/uploads/2015/07/UY2y1RdJ4JqUpvpY55PSUhDICVIAr046ge5nK0CGiyMNG8LOYqiZd5nJEWFO1btQmPygvZ4FruOFRpH3.jpg
11	2011	1	3	O Ladrão De Raios	Rick Riordan	Intrínseca	11	3.905	978-85-98078-39-7	400	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111022770-1274342636.jpg
11	2011	1	4	O Mar De Monstros	Rick Riordan	Intrínseca	11	3.809	978-85-98078-44-1	304	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111318129-2052156165.jpg
11	2011	1	5	O Último Olimpiano	Rick Riordan	Intrínseca	11	3.398	978-85-98078-90-8	384	https://www.publishnews.com.br/estaticos/uploads/livro/201009201103165511475636426.jpg
11	2011	1	6	A Maldição Do Titã	Rick Riordan	Intrínseca	11	3.379	978-85-98078-58-8	336	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011222518-1762025362.jpg
11	2011	1	7	A Batalha Do Labirinto	Rick Riordan	Intrínseca	11	2.660	978-85-98078-70-0	392	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112530847-1759761856.jpg
11	2011	1	8	Querido Diário Otário - Vol. 10	Jim Benton	Fundamento	11	2.373	978-85-76769-51-4	160	https://www.publishnews.com.br/estaticos/uploads/livro/querido%20diario%2010.jpg
11	2011	1	9	Club Penguin - Aquela Do Pinguim	Vários	Melhoramentos	11	2.228	978-85-06061-35-0	64	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111343582638501925.jpg
11	2011	1	10	Diário De Um Banana - Faça Você Mesmo	Jeff Kinney	Vr Editora	11	2.183	978-85-76832-58-4	218	https://www.publishnews.com.br/estaticos/uploads/2015/07/nSoYW7jC2SdIT1K2MbNxpqdPVe7JcGMKYDpefYtzXqYszqYtlAUM5xKW0ydi65pONUrVckiYOnYWumtt.jpg
11	2011	1	11	Club Penguin - Guia Oficial	Vários	Melhoramentos	11	1.815	978-85-06061-14-5	92	https://www.publishnews.com.br/estaticos/uploads/2015/07/wspyjLw1yghedA76eFGBL8AduO2rStw7Q7lOBwxeTY2hRoRzvkr5p4v8JsVPLbgkBhjLymHiPWZbzXNd.png
11	2011	1	12	Querido Diário Otário - Vol. 1	Jim Benton	Fundamento	11	1.693	978-85-76761-73-0	112	https://www.publishnews.com.br/estaticos/uploads/livro/20100920113251706-320191674.jpg
11	2011	1	13	Diário De Um Banana - A Gota D'Água	Jeff Kinney	Vr Editora	11	1.598	978-85-76832-29-4	218	https://www.publishnews.com.br/estaticos/uploads/livro/20100920112631394586236738.jpg
11	2011	1	14	Club Penguin - O Aprendiz De Inventor	Vários	Melhoramentos	11	1.547	978-85-06061-13-8	80	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111455394-1875929536.jpg
11	2011	1	15	Club Penguin - O Passageiro Clandestino	Vários	Melhoramentos	11	1.489	978-85-06061-36-7	80	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111423722-1051631217.jpg
11	2011	1	16	Diário De Uma Garota Nada Popular	Rachel Renee Russell	Verus	11	1.229	978-85-76861-03-4	288	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20uma%20menina.jpg
11	2011	1	17	Diário De Um Banana - Rodrick É O Cara	Jeff Kinney	Vr Editora	11	922	978-85-76831-95-2	224	https://www.publishnews.com.br/estaticos/uploads/livro/20100920114930377-494435350.jpg
11	2011	1	18	As Crônicas De Nárnia - Vol. Único	C. S. Lewis	Martins Fontes	11	751	978-85-78270-69-8	752	https://www.publishnews.com.br/estaticos/uploads/2016/06/nU3sl6SIHo0xpO8WPaxKoZJiOQz9YGQUGnOmhFpQzaYKWiHXmL5eoeqZMDdaRTWuGDEZPwuzqg9D1wiB.jpeg
11	2011	1	19	Diário De Um Banana - Um Romance Em Quadrinhos	Jeff Kinney	Vr Editora	11	659	978-85-76831-30-3	218	https://www.publishnews.com.br/estaticos/uploads/2015/08/rTnVyaccFD4QTVGvguUf4nSMMoQXdE8IULZXXI3XgrJxMXtNaRke5awQCp5qb9SbGybcl9BSJ1XH8pI4.jpg
11	2011	1	20	Os Arquivos Do Semideus	Rick Riordan	Intrínseca	11	647	978-85-98078-89-2	168	https://www.publishnews.com.br/estaticos/uploads/livro/Os%20arquivos%20do%20semideus.jpg
8	2011	1	1	Bilionários Por Acaso	Ben Mezrich	Intrínseca	8	5.024	978-85-98078-94-6	232	https://www.publishnews.com.br/estaticos/uploads/2015/07/SvT3X8gKys50UNxUkitLuxaxyRwTONFGg8euUX4fxCK6G3XfJOSX5Y2WOlWt8Xw0RuIvBECAXLtakKnW.jpg
8	2011	1	2	O Monge E O Executivo	James Hunter	Sextante	8	3.588	978-85-75421-02-4	144	https://www.publishnews.com.br/estaticos/uploads/2015/07/CjlXUUI3ZPUy92oz4ZzL2KrFM4hpsZq0xmyZ6OgxEP1JIhPZyI1hSo9pNO64bk2kI23nw1kQtwtkfLRE.jpg
8	2011	1	3	Os Segredos Da Mente Milionária	T. Harv Eker	Sextante	8	3.483	978-85-75422-39-7	176	https://www.publishnews.com.br/estaticos/uploads/2015/08/flQqYuiyxm1OThx3kMyaVlegJFP98SPiBIeASQRjroLrR6Sh47nP2JAYg05VAjpOHBktd85lsxQf6PvK.jpg
8	2011	1	4	51 Atitudes Para Vencer Na Vida E Na Carreira	Carlos Hilsdorf	Clio Editora	8	2.620	978-85-78310-43-1	110	https://www.publishnews.com.br/estaticos/uploads/livro/2010092112143631-252098908.jpg
8	2011	1	5	12 Meses Para Enriquecer	Marcos Silvestre	Lua De Papel	8	1.506	978-85-63066-25-1	288	https://www.publishnews.com.br/estaticos/uploads/livro/12%20meses.jpg
8	2011	1	6	Não Tenha Medo De Ser Chefe	Bruce Tulgan	Sextante	8	1.269	978-85-75425-11-4	192	https://www.publishnews.com.br/estaticos/uploads/livro/201009211208366881226018316.jpg
8	2011	1	7	Casais Inteligentes Enriquecem Juntos	Gustavo Cerbasi	Gente	8	1.127	978-85-73124-39-2	166	https://www.publishnews.com.br/estaticos/uploads/2015/08/EVFSIj8Rh4LT6szujqdO8VT5DeUXtIdvGuO2MRgPXZuBQQXU7R0VSobu3nalHkJl7RfenvHcaO2WaaYB.jpg
8	2011	1	8	A Arte Da Guerra - Os Treze Capítulos Originais	Sun Tzu	Jardim Dos Livros	8	922	978-85-60018-00-0	160	https://www.publishnews.com.br/estaticos/uploads/2015/08/iCgVcopEp5XnnbCzzOG4s7uQEge9i55bSOElk1qAfFpMVMX9Kahm9EW9mBUvQhLd4kWJbfvRDsHovcfq.jpg
8	2011	1	9	O Verdadeiro Poder	Vicente Falconi Campos	Indg	8	844	978-85-98254-41-8	159	https://www.publishnews.com.br/estaticos/uploads/livro/201009201157259231732549081.jpg
8	2011	1	10	Pai Rico, Pai Pobre	Robert T. Kiyosaki / Sharon L. Lechter	Elsevier	8	676	978-85-35206-23-4	192	https://www.publishnews.com.br/estaticos/uploads/2015/08/oUD56nLXChYZ4cwv9nvJ4t4MnPJRuI4czZpNF9wwzKUmDCI9zrKrspL92Fj844gN9wi06tMBuPZyH9zP.jpg
8	2011	1	11	100 Maneiras De Motivar As Pessoas	Scott Richardson / S. Chandler	Sextante	8	593	978-85-75424-10-0	176	https://www.publishnews.com.br/estaticos/uploads/livro/100%20maneiras%20de%20motivar%20as%20pessoas.jpg
8	2011	1	12	Descubra Seus Pontos Fortes	Marcus Buckingham / Donald O. Clifton	Sextante	8	520	978-85-75423-92-9	272	https://www.publishnews.com.br/estaticos/uploads/2015/08/DyVHuIIcyT5vhLbO5fOY3LwxZAPBiZRyEFWkxFR6IQqoVYtQY1SDZidIInDjc27sUCgarZhN4XospMr1.jpg
8	2011	1	13	Como Se Tornar Um Líder Servidor	James Hunter	Sextante	8	519	978-85-75422-10-6	144	https://www.publishnews.com.br/estaticos/uploads/livro/20100921121312266-511379086.jpg
8	2011	1	14	Os 7 Hábitos Das Pessoas Altamente Eficazes	Stephen Covey	Bestseller	8	452	978-85-76840-62-6	462	https://www.publishnews.com.br/estaticos/uploads/2016/06/8HR45TGNETLtaHItVBmYl9wHD6ZTZo1LyZHXE3Abx8WwUGYWn0t43FRA40h3ijaRFDWheiutnXDtiRiq.jpg
8	2011	1	15	Marketing 3.0	Philip Kotler	Elsevier	8	361	978-85-35238-69-3	240	https://www.publishnews.com.br/estaticos/uploads/livro/Marketing%203.0.jpg
8	2011	1	16	Gerenciamento Da Rotina Do Trabalho Do Dia-A-Dia	Vicente Falconi Campos	Indg	8	269	978-85-98254-03-6	266	https://www.publishnews.com.br/estaticos/uploads/livro/gerenciamento.jpg
8	2011	1	17	A Arte Da Guerra	Sun Tzu	Clio Editora	8	251	978-85-78310-06-6	158	https://www.publishnews.com.br/estaticos/uploads/2015/07/Mq535ZYomGp2oyIoU1GneqKpTYnjy7hKv4ch7NzzKhmwgRaM8Om2BVG4NpAeykjxhgo1eYfAHLt9x1dX.jpg
8	2011	1	18	Faça Como Steve Jobs E Realize Apresentações Incríveis Em Qualquer Situação	Carmine Gallo	Lua De Papel	8	249	978-85-63066-16-9	256	https://www.publishnews.com.br/estaticos/uploads/2015/07/tj6OU0S8f8B74WU88cZy1YgITMyNroqps0AkI160FRalzYqQTqcyiHq743w0H8R77GBLW1mPC2vXWQJI.jpg
8	2011	1	19	A Cabeça De Steve Jobs	Leander Kahener	Agir	8	244	978-85-22009-77-0	304	https://www.publishnews.com.br/estaticos/uploads/livro/201009201159069548302179.jpg
8	2011	1	20	100 Maneiras De Criar Riqueza	Steve Chandler	Sextante	8	236	978-85-75425-79-4	176	https://www.publishnews.com.br/estaticos/uploads/livro/20100924015810681639197621.jpg
0	2011	2	1	Ágape	Padre Marcelo Rossi	Globo Livros	Autoajuda	49.922	978-85-25048-95-0	128	https://pictures.abebooks.com/isbn/9788525048950-us.jpg
0	2011	2	2	A Cabana	William P. Young	Arqueiro	Ficção	8.852	978-85-99296-36-3	240	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg
0	2011	2	3	1822	Laurentino Gomes	Nova Fronteira	Não Ficção	7.617	978-85-20924-09-9	372	https://www.publishnews.com.br/estaticos/uploads/livro/2010092011013222251248457.jpg
0	2011	2	4	Querido John	Nicholas Sparks	Novo Conceito	Ficção	7.440	978-85-63219-02-2	288	https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg
0	2011	2	5	Diário De Uma Paixão	Nicholas Sparks	Novo Conceito	Ficção	6.807	978-85-63219-20-6	256	https://www.publishnews.com.br/estaticos/uploads/livro/diario%20de%20uma%20paixao.jpg
0	2011	2	6	Comer, Rezar, Amar	Elizabeth Gilbert	Objetiva	Não Ficção	6.556	978-85-73028-92-8	344	https://www.publishnews.com.br/estaticos/uploads/livro/20100920110423973103680224.jpg
0	2011	2	7	Por Que Os Homens Amam As Mulheres Poderosas?	Sherry Argov	Sextante	Autoajuda	5.198	978-85-75424-88-9	192	https://pictures.abebooks.com/isbn/9788575424889-us.jpg
