ano;sem_epid;inicio;termino;sem_epid_desc
2021;25;20/06/2021;26/06/2021;2021/25 (20/06 - 26/06)
2021;26;27/06/2021;03/07/2021;2021/26 (27/06 - 03/07)
2021;27;04/07/2021;10/07/2021;2021/27 (04/07 - 10/07)
2021;28;11/07/2021;17/07/2021;2021/28 (11/07 - 17/07)
2021;29;18/07/2021;24/07/2021;2021/29 (18/07 - 24/07)
2021;30;25/07/2021;31/07/2021;2021/30 (25/07 - 31/07)
2021;31;01/08/2021;07/08/2021;2021/31 (01/08 - 07/08)
2021;32;08/08/2021;14/08/2021;2021/32 (08/08 - 14/08)
2021;33;15/08/2021;21/08/2021;2021/33 (15/08 - 21/08)
2021;34;22/08/2021;28/08/2021;2021/34 (22/08 - 28/08)
2021;35;29/08/2021;04/09/2021;2021/35 (29/08 - 04/09)
2021;36;05/09/2021;11/09/2021;2021/36 (05/09 - 11/09)
2021;37;12/09/2021;18/09/2021;2021/37 (12/09 - 18/09)
2021;38;19/09/2021;25/09/2021;2021/38 (19/09 - 25/09)
2021;39;26/09/2021;02/10/2021;2021/39 (26/09 - 02/10)
2021;40;03/10/2021;09/10/2021;2021/40 (03/10 - 09/10)
2021;41;10/10/2021;16/10/2021;2021/41 (10/10 - 16/10)
2021;42;17/10/2021;23/10/2021;2021/42 (17/10 - 23/10)
2021;43;24/10/2021;30/10/2021;2021/43 (24/10 - 30/10)
2021;44;31/10/2021;06/11/2021;2021/44 (31/10 - 06/11)
2021;45;07/11/2021;13/11/2021;2021/45 (07/11 - 13/11)
2021;46;14/11/2021;20/11/2021;2021/46 (14/11 - 20/11)
2021;47;21/11/2021;27/11/2021;2021/47 (21/11 - 27/11)
2021;48;28/11/2021;04/12/2021;2021/48 (28/11 - 04/12)
2021;49;05/12/2021;11/12/2021;2021/49 (05/12 - 11/12)
2021;50;12/12/2021;18/12/2021;2021/50 (12/12 - 18/12)
2021;51;19/12/2021;25/12/2021;2021/51 (19/12 - 25/12)
2021;52;26/12/2021;01/01/2022;2021/52 (26/12 - 01/01)
2022;1;02/01/2022;08/01/2022;2022/01 (02/01 - 08/01)
2022;2;09/01/2022;15/01/2022;2022/02 (09/01 - 15/01)
2022;3;16/01/2022;22/01/2022;2022/03 (16/01 - 22/01)
2022;4;23/01/2022;29/01/2022;2022/04 (23/01 - 29/01)
2022;5;30/01/2022;05/02/2022;2022/05 (30/01 - 05/02)
2022;6;06/02/2022;12/02/2022;2022/06 (06/02 - 12/02)
2022;7;13/02/2022;19/02/2022;2022/07 (13/02 - 19/02)
2022;8;20/02/2022;26/02/2022;2022/08 (20/02 - 26/02)
2022;9;27/02/2022;05/03/2022;2022/09 (27/02 - 05/03)
2022;10;06/03/2022;12/03/2022;2022/10 (06/03 - 12/03)
2022;11;13/03/2022;19/03/2022;2022/11 (13/03 - 19/03)
2022;12;20/03/2022;26/03/2022;2022/12 (20/03 - 26/03)
2022;13;27/03/2022;02/04/2022;2022/13 (27/03 - 02/04)
2022;14;03/04/2022;09/04/2022;2022/14 (03/04 - 09/04)
2022;15;10/04/2022;16/04/2022;2022/15 (10/04 - 16/04)
2022;16;17/04/2022;23/04/2022;2022/16 (17/04 - 23/04)
2022;17;24/04/2022;30/04/2022;2022/17 (24/04 - 30/04)
2022;18;01/05/2022;07/05/2022;2022/18 (01/05 - 07/05)
2022;19;08/05/2022;14/05/2022;2022/19 (08/05 - 14/05)
2022;20;15/05/2022;21/05/2022;2022/20 (15/05 - 21/05)
2022;21;22/05/2022;28/05/2022;2022/21 (22/05 - 28/05)
2022;22;29/05/2022;04/06/2022;2022/22 (29/05 - 04/06)
2022;23;05/06/2022;11/06/2022;2022/23 (05/06 - 11/06)
2022;24;12/06/2022;18/06/2022;2022/24 (12/06 - 18/06)
2022;25;19/06/2022;25/06/2022;2022/25 (19/06 - 25/06)
2022;26;26/06/2022;02/07/2022;2022/26 (26/06 - 02/07)
2022;27;03/07/2022;09/07/2022;2022/27 (03/07 - 09/07)
2022;28;10/07/2022;16/07/2022;2022/28 (10/07 - 16/07)
2022;29;17/07/2022;23/07/2022;2022/29 (17/07 - 23/07)
2022;30;24/07/2022;30/07/2022;2022/30 (24/07 - 30/07)
2022;31;31/07/2022;06/08/2022;2022/31 (31/07 - 06/08)
2022;32;07/08/2022;13/08/2022;2022/32 (07/08 - 13/08)
2022;33;14/08/2022;20/08/2022;2022/33 (14/08 - 20/08)
2022;34;21/08/2022;27/08/2022;2022/34 (21/08 - 27/08)
2022;35;28/08/2022;03/09/2022;2022/35 (28/08 - 03/09)
2022;36;04/09/2022;10/09/2022;2022/36 (04/09 - 10/09)
2022;37;11/09/2022;17/09/2022;2022/37 (11/09 - 17/09)
2022;38;18/09/2022;24/09/2022;2022/38 (18/09 - 24/09)
