dates;I
21/04/2021;65
22/04/2021;23
23/04/2021;71
24/04/2021;50
25/04/2021;59
26/04/2021;15
27/04/2021;88
28/04/2021;40
29/04/2021;56
30/04/2021;71
01/05/2021;67
02/05/2021;37
03/05/2021;11
04/05/2021;38
05/05/2021;51
06/05/2021;51
07/05/2021;52
08/05/2021;63
09/05/2021;60
10/05/2021;24
11/05/2021;70
12/05/2021;92
13/05/2021;104
14/05/2021;93
15/05/2021;95
16/05/2021;109
17/05/2021;14
18/05/2021;87
19/05/2021;122
20/05/2021;100
21/05/2021;94
22/05/2021;100
23/05/2021;125
24/05/2021;17
25/05/2021;88
26/05/2021;131
27/05/2021;61
28/05/2021;124
29/05/2021;175
30/05/2021;105
31/05/2021;110
01/06/2021;156
02/06/2021;151
03/06/2021;140
04/06/2021;252
05/06/2021;163
06/06/2021;177
07/06/2021;14
08/06/2021;119
09/06/2021;153
10/06/2021;281
11/06/2021;193
12/06/2021;131
13/06/2021;148
14/06/2021;18
15/06/2021;91
16/06/2021;199
17/06/2021;202
18/06/2021;145
19/06/2021;157
20/06/2021;168
21/06/2021;28
22/06/2021;115
23/06/2021;160
24/06/2021;113
25/06/2021;192
26/06/2021;120
27/06/2021;135
28/06/2021;26
29/06/2021;161
30/06/2021;114
01/07/2021;110
02/07/2021;83
03/07/2021;115
04/07/2021;65
05/07/2021;34
